latitude,longitude,continent
11.8592,-15.5956,4
12.4833,-15.2167,4
11.8869,-15.8556,4
11.2833,-15.25,4
12.1719,-14.6575,4
12.2833,-14.2167,4
12.278,-16.165,4
11.5776,-15.4742,4
11.59,-14.99,4
12.0667,-15.3167,4
11.773,-15.195,4
-3.3825,29.3611,4
-3.4283,29.925,4
-2.9,29.8167,4
-2.9167,29.6167,4
-3.0833,29.4,4
-3.1,30.163,4
-2.5833,30.1,4
-2.85,30.3333,4
-4.1333,29.8,4
-3.4667,30.25,4
-3.9236,30.0061,4
-3.25,29.6,4
-3.9333,29.6167,4
-3.2194,30.5528,4
-3.3444,29.4833,4
-3.9736,29.4386,4
-2.8869,29.1248,4
-3.426,29.8436,4
-3.3333,29.25,4
6.3106,-10.8047,4
6.1319,1.2228,4
-26.3208,31.1617,4
-26.4465,31.2064,4
8.9833,1.1333,4
-26.4833,31.3667,4
6.91,0.6281,4
7.53,1.12,4
7.0104,-9.49,4
6.53,-10.3517,4
4.3754,-7.717,4
8.4167,-9.75,4
6.0704,-8.13,4
6.7533,-11.3686,4
7.371,-8.685,4
5.0111,-9.0388,4
-26.45,31.95,4
6.4456,-10.6097,4
4.8,-8.1667,4
5.4697,-9.5817,4
5.8811,-10.0447,4
10.8623,0.2076,4
9.5511,1.1861,4
-27.1167,31.2,4
6.8706,-10.8211,4
5.1974,-7.8758,4
7.0667,-10.4875,4
5.9161,-10.0525,4
10.3556,0.4756,4
9.25,0.7833,4
8.5667,0.9833,4
-26.0333,31.85,4
-27.3167,31.9,4
-26.9667,31.3167,4
-25.961,31.247,4
33.8869,35.5131,4
-29.31,27.48,4
34.4333,35.8333,4
33.5606,35.3758,4
33.2667,35.2,4
33.8439,35.9072,4
33.9697,35.6156,4
33.3833,35.45,4
-29.15,27.7333,4
-29.8167,27.25,4
-28.8734,28.0416,4
-30.159,27.48,4
34.0061,36.2086,4
33.8333,35.5333,4
-30.4001,27.7002,4
-28.7833,28.2333,4
-29.2885,29.0656,4
-29.522,28.6084,4
34.5428,36.0797,4
-30.1153,28.6894,4
-28.8833,27.9,4
34.3436,36.4756,4
34.2994,35.8097,4
8.4833,-13.2331,4
6.402,2.518,4
11.595,43.1481,4
4.85,31.6,4
6.4833,2.6167,4
-20.8789,55.4481,4
3.7521,8.7737,4
14.9177,-23.5092,4
13.4531,-16.5775,4
6.2167,31.55,4
1.865,9.77,4
7.9564,-11.74,4
9.7004,1.68,4
7.8833,-11.1833,4
13.2804,-16.6599,4
9.34,2.62,4
4.0904,30.68,4
7.7,27.9833,4
9.5333,31.65,4
11.1304,2.94,4
8.8817,-12.0442,4
6.615,1.715,4
6.3604,2.09,4
7.1853,1.9914,4
10.3204,1.39,4
16.8914,-24.988,4
8.7666,27.4,4
4.5705,28.4163,4
11.1558,42.7125,4
2.15,11.3167,4
11.1086,42.3667,4
6.8,29.6833,4
14.8951,-24.5004,4
11.9667,43.2833,4
17.1833,-25.0667,4
13.3773,-15.6786,4
15.2787,-23.7516,4
4.4167,32.5667,4
17.0195,-25.0646,4
11.7833,42.8833,4
13.31,-14.223,4
15.0949,-23.6654,4
15.1375,-23.5333,4
1.45,10.5667,4
9.25,29.8,4
3.45,8.55,4
1.6287,11.3168,4
16.176,-22.9171,4
16.7546,-22.9453,4
13.45,-16.6667,4
16.566,-24.3568,4
-1.4043,5.6322,4
15.0669,-23.5892,4
15.1875,-23.5917,4
13.551,-14.767,4
15.1375,-23.2083,4
15.025,-23.5625,4
13.494,-16.095,4
14.9167,-23.6042,4
15.0833,-23.65,4
6.8167,1.7833,4
17.1503,-25.0201,4
6.7362,2.6587,4
17.2014,-25.0917,4
8.7667,-12.7833,4
14.8714,-24.6956,4
15.0339,-24.325,4
7.9281,1.9756,4
8.31,27.99,4
1.5917,10.8222,4
16.6158,-24.2983,4
14.8833,-24.3,4
11.5264,42.8519,4
8.4405,-10.85,4
8.5337,28.1167,4
13.5667,-15.6,4
-21.0335,55.7128,4
8.0342,2.4866,4
1.8656,10.7689,4
1.6931,11.0342,4
4.9151,29.4769,4
1.3,10.9333,4
3.7192,8.8531,4
4.7721,33.5902,4
10.44,32.2,4
2.1333,10.6167,4
3.6,32.06,4
13.4336,-14.65,4
8.6004,33.0666,4
1.1164,9.4186,4
5.3364,-4.0267,4
3.8578,11.5181,4
4.05,9.7,4
-4.2667,15.2833,4
9.538,-13.6773,4
14.75,-17.4,4
14.7319,-17.4572,4
18.0858,-15.9785,4
6.8161,-5.2742,4
-4.7889,11.8653,4
7.6833,-5.0331,4
14.8667,-15.8833,4
10.5823,14.3275,4
14.7833,-16.9167,4
5.4667,10.4167,4
9.4578,-5.6294,4
5.9333,10.1667,4
6.89,-6.45,4
9.3,13.4,4
14.7167,-17.2667,4
8.5667,-10.1333,4
4.0167,9.2167,4
4.7704,-6.64,4
12.5833,-16.2667,4
16.6171,-7.25,4
7.3214,13.5839,4
11.4189,-9.1644,4
5.8372,-5.3572,4
16.0333,-16.5,4
14.1389,-16.0764,4
7.76,-8.83,4
7.4004,-7.55,4
4.6333,9.45,4
4.1667,9.2333,4
6.2,10.66,4
6.1333,-5.9333,4
3.8,10.1333,4
20.95,-17.0333,4
10.06,-12.87,4
4.95,9.9167,4
10.94,-14.3,4
10.39,-9.31,4
16.6164,-11.4044,4
11.3167,-12.2833,4
5.7836,-6.5939,4
6.7297,-3.4964,4
-4.1961,12.6731,4
12.0833,15.0333,4
14.655,-16.2314,4
